Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
01/02/08,3.09,,3.26,3.32,3.17,2.88,2.89,3.28,3.54,3.91,4.39,4.35
01/03/08,3.19,,3.24,3.29,3.13,2.83,2.85,3.26,3.54,3.91,4.41,4.37
01/04/08,3.22,,3.2,3.22,3.06,2.74,2.75,3.18,3.47,3.88,4.4,4.36
01/07/08,3.27,,3.27,3.29,3.11,2.76,2.76,3.16,3.46,3.86,4.37,4.34
01/08/08,3.31,,3.25,3.27,3.09,2.76,2.76,3.16,3.47,3.86,4.39,4.35
01/09/08,3.34,,3.22,3.22,3.04,2.69,2.69,3.1,3.4,3.82,4.35,4.32
01/10/08,3.37,,3.24,3.21,3.04,2.71,2.74,3.16,3.49,3.91,4.47,4.44
01/11/08,3.23,,3.09,3.07,2.91,2.59,2.61,3.06,3.38,3.82,4.4,4.39
01/14/08,3.2,,3.19,3.07,2.9,2.58,2.61,3.08,3.39,3.81,4.39,4.37
01/15/08,3.15,,3.17,3.05,2.87,2.53,2.55,3.0,3.3,3.72,4.3,4.28
01/16/08,3.14,,3.14,3.05,2.86,2.51,2.55,3.0,3.32,3.74,4.34,4.32
01/17/08,3.07,,3.07,3.01,2.81,2.44,2.46,2.9,3.22,3.66,4.27,4.25
01/18/08,2.63,,2.86,2.86,2.69,2.36,2.39,2.86,3.2,3.66,4.3,4.28
01/22/08,2.15,,2.35,2.41,2.29,2.08,2.12,2.64,3.01,3.52,4.23,4.23
01/23/08,2.07,,2.21,2.25,2.19,2.09,2.12,2.64,3.01,3.51,4.23,4.23
01/24/08,2.19,,2.37,2.48,2.4,2.25,2.3,2.85,3.21,3.68,4.37,4.36
01/25/08,2.07,,2.3,2.41,2.34,2.23,2.28,2.81,3.15,3.61,4.3,4.28
01/28/08,2.12,,2.34,2.36,2.3,2.2,2.27,2.8,3.15,3.61,4.3,4.29
01/29/08,2.13,,2.28,2.36,2.33,2.29,2.33,2.87,3.23,3.69,4.35,4.34
01/30/08,1.93,,2.21,2.29,2.3,2.3,2.44,2.96,3.32,3.78,4.45,4.44
01/31/08,1.64,,1.96,2.07,2.11,2.17,2.27,2.82,3.19,3.67,4.35,4.35
02/01/08,1.75,,2.1,2.15,2.13,2.09,2.22,2.75,3.13,3.62,4.31,4.32
02/04/08,2.15,,2.27,2.22,2.17,2.08,2.23,2.78,3.18,3.68,4.37,4.37
02/05/08,2.22,,2.19,2.13,2.06,1.93,2.08,2.66,3.08,3.61,4.32,4.33
02/06/08,2.12,,2.1,2.1,2.05,1.96,2.11,2.67,3.08,3.61,4.36,4.37
02/07/08,2.19,,2.17,2.13,2.08,1.99,2.21,2.79,3.21,3.74,4.5,4.51
02/08/08,2.24,,2.23,2.12,2.05,1.93,2.1,2.69,3.11,3.64,4.41,4.43
02/11/08,2.35,,2.31,2.13,2.06,1.93,2.1,2.67,3.09,3.62,4.38,4.41
02/12/08,2.55,,2.31,2.12,2.06,1.94,2.13,2.71,3.13,3.66,4.43,4.46
02/13/08,2.5,,2.28,2.1,2.03,1.91,2.11,2.71,3.14,3.7,4.48,4.52
02/14/08,2.5,,2.31,2.12,2.05,1.93,2.18,2.81,3.28,3.85,4.63,4.67
02/15/08,2.4,,2.21,2.07,2.02,1.91,2.15,2.76,3.21,3.76,4.55,4.58
02/19/08,2.37,,2.28,2.14,2.11,2.06,2.31,2.93,3.37,3.89,4.63,4.66
02/20/08,2.4,,2.25,2.17,2.16,2.14,2.43,3.02,3.45,3.93,4.63,4.65
02/21/08,2.35,,2.2,2.1,2.05,1.98,2.23,2.8,3.24,3.77,4.52,4.54
02/22/08,2.33,,2.2,2.14,2.08,1.98,2.24,2.81,3.26,3.79,4.55,4.58
02/25/08,2.34,,2.2,2.13,2.13,2.13,2.39,2.98,3.41,3.91,4.65,4.67
02/26/08,2.34,,2.14,2.09,2.07,2.04,2.32,2.92,3.36,3.88,4.64,4.66
02/27/08,2.21,,1.98,2.02,2.02,2.01,2.25,2.89,3.33,3.85,4.62,4.65
02/28/08,2.08,,1.9,1.95,1.92,1.87,2.1,2.73,3.17,3.71,4.51,4.55
02/29/08,2.07,,1.85,1.83,1.77,1.65,1.87,2.5,2.96,3.53,4.37,4.41
03/03/08,1.99,,1.7,1.8,1.74,1.61,1.84,2.48,2.96,3.54,4.37,4.42
03/04/08,2.01,,1.66,1.76,1.72,1.65,1.86,2.53,3.02,3.63,4.46,4.52
03/05/08,1.91,,1.53,1.75,1.72,1.66,1.91,2.59,3.1,3.7,4.55,4.6
03/06/08,1.73,,1.39,1.61,1.59,1.53,1.77,2.5,3.0,3.62,4.52,4.57
03/07/08,1.65,,1.45,1.56,1.55,1.53,1.75,2.45,2.94,3.56,4.49,4.55
03/10/08,1.63,,1.35,1.45,1.46,1.47,1.67,2.37,2.84,3.46,4.39,4.45
03/11/08,1.82,,1.48,1.64,1.67,1.74,1.93,2.61,3.04,3.6,4.48,4.53
03/12/08,1.68,,1.48,1.56,1.58,1.63,1.81,2.49,2.93,3.49,4.35,4.4
03/13/08,1.56,,1.35,1.5,1.54,1.63,1.84,2.53,2.99,3.56,4.42,4.47
03/14/08,1.2,,1.18,1.32,1.37,1.47,1.65,2.37,2.84,3.44,4.3,4.35
03/17/08,1.16,,1.11,1.31,1.32,1.35,1.52,2.23,2.71,3.34,4.24,4.29
03/18/08,0.71,,0.92,1.32,1.4,1.58,1.74,2.42,2.88,3.48,4.3,4.35
03/19/08,0.26,,0.61,1.22,1.33,1.54,1.68,2.36,2.8,3.38,4.2,4.22
03/20/08,0.37,,0.63,1.2,1.33,1.59,1.71,2.36,2.78,3.34,4.15,4.17
03/24/08,0.67,,1.24,1.6,1.68,1.84,1.99,2.64,3.04,3.56,4.31,4.33
03/25/08,1.47,,1.29,1.56,1.64,1.79,1.93,2.61,3.0,3.51,4.29,4.3
03/26/08,1.36,,1.29,1.48,1.56,1.71,1.86,2.55,2.96,3.51,4.31,4.33
03/27/08,1.32,,1.3,1.49,1.57,1.73,1.88,2.61,3.02,3.56,4.37,4.38
03/28/08,1.29,,1.33,1.5,1.56,1.67,1.8,2.51,2.91,3.47,4.32,4.33
03/31/08,1.22,,1.38,1.51,1.55,1.62,1.79,2.46,2.88,3.45,4.3,4.3
04/01/08,1.55,,1.4,1.53,1.62,1.8,1.94,2.65,3.04,3.57,4.4,4.4
04/02/08,1.55,,1.41,1.56,1.67,1.88,2.05,2.72,3.09,3.6,4.4,4.38
04/03/08,1.56,,1.4,1.56,1.68,1.91,2.08,2.75,3.11,3.61,4.41,4.4
04/04/08,1.5,,1.35,1.53,1.63,1.83,1.98,2.63,2.99,3.5,4.32,4.32
